Temp	date	dt	vW	dW	method	ef	aer	wd	lg_aer	lg_ef	season1	season2	season3	h	t	season4
-2.91666667	10FEB2017	10FEB2017:07:00:00	2.55043466	110.371823	1	1.02760704	649.48150692	E	6.4761743629	0.0272328371	W	W	W	7	2431	3
-2.91666667	10FEB2017	10FEB2017:07:00:00	2.55043466	110.371823	4	0.701254955	780.06057692	E	6.6593715794	-0.354883756	W	W	W	7	2431	3
-2.83333333	09FEB2017	09FEB2017:18:00:00	0.933797148	104.173284	1	1.44948056	610.74631231	E	6.4146816721	0.3712052578	W	W	W	18	2418	3
-2.83333333	09FEB2017	09FEB2017:18:00:00	0.933797148	104.173284	4	1.21775676	775.53767692	E	6.6535565655	0.1970104449	W	W	W	18	2418	3
-2.83333333	10FEB2017	10FEB2017:05:00:00	1.4526412	107.942473	1	0.79748877	583.62431385	E	6.3692574776	-0.226287526	W	W	W	5	2429	3
-2.83333333	10FEB2017	10FEB2017:05:00:00	1.4526412	107.942473	4	0.63072196	785.3745	E	6.6661606741	-0.460890147	W	W	W	5	2429	3
-2.83333333	10FEB2017	10FEB2017:06:00:00	2.13274294	109.102733	1	1.09789397	803.46913846	E	6.6889387756	0.0933937719	W	W	W	6	2430	3
-2.83333333	10FEB2017	10FEB2017:06:00:00	2.13274294	109.102733	4	0.680949412	874.00746154	E	6.7730889128	-0.38426726	W	W	W	6	2430	3
-2.83333333	10FEB2017	10FEB2017:10:00:00	1.12092682	114.457864	1	0.65022868	1506.8751538	E	7.317793351	-0.430431163	W	W	W	10	2434	3
-2.83333333	10FEB2017	10FEB2017:10:00:00	1.12092682	114.457864	4	0.660576774	1377.7707385	E	7.2282220651	-0.414641926	W	W	W	10	2434	3
-2.75	14FEB2017	14FEB2017:01:00:00	1.47535782	118.715582	1	0.86600605	430.05628308	E	6.063916091	-0.143863384	W	W	W	1	2521	3
-2.75	14FEB2017	14FEB2017:01:00:00	1.47535782	118.715582	4	0.758659738	514.58316538	E	6.2433571853	-0.276201905	W	W	W	1	2521	3
-2.66666667	28JAN2017	28JAN2017:22:00:00	2.57009798	145.863006	1	1.13172331	1430.5728385	E	7.2658302294	0.1237415241	W	W	W	22	2134	3
-2.66666667	28JAN2017	28JAN2017:22:00:00	2.57009798	145.863006	4	0.855186046	1518.0161692	E	7.3251596096	-0.156436236	W	W	W	22	2134	3
-2.66666667	09FEB2017	09FEB2017:20:00:00	0.52340552	98.3632855	1	0.98177574	525.05083231	E	6.2634950813	-0.018392367	W	W	W	20	2420	3
-2.66666667	09FEB2017	09FEB2017:20:00:00	0.52340552	98.3632855	4	0.83894508	613.96318308	E	6.4199349639	-0.175610034	W	W	W	20	2420	3
-2.66666667	10FEB2017	10FEB2017:04:00:00	1.23997454	109.166096	1	0.74783027	519.91870692	E	6.2536724665	-0.290579239	W	W	W	4	2428	3
